employers' associations,2020,2021,2020Y,2021,Sist_aar_b,Sist_aar_t,Endring_b,Endring_t,Endring_b_pst,Endring_t_pst
- Association of Norwegian ICT- and knowledgebased Establishments,2531,2591,56965,61254,2591,61254,60,4289,2.3706045041485577,7.529184587027121
- Energy Norway,704,724,14154,15194,724,15194,20,1040,2.840909090909091,7.347746220149781
- Federation of Norwegian Industries,2959,2997,135386,134226,2997,134226,38,-1160,1.2842176410949644,-0.8568094189945785
- FoodDrinkNorway,1856,1876,41486,48403,1876,48403,20,6917,1.0775862068965518,16.673094537916405
- Norwegian Federation of Services Industries and retail and wholesale,7374,7531,106741,109456,7531,109456,157,2715,2.1291022511526987,2.5435399705829997
- Norwegian Hospitality Association,3441,3492,51970,37725,3492,37725,51,-14245,1.4821272885789014,-27.410044256301713
- Norwegian Oil and Gas Association,236,241,36604,37345,241,37345,5,741,2.11864406779661,2.024368921429352
- Norwegian Seafood Federation,778,794,16049,19749,794,19749,16,3700,2.056555269922879,23.054395912517915
- The Federation of Building Industries,3332,3364,83078,76386,3364,76386,32,-6692,0.9603841536614646,-8.055080767471532
- The Norwegian Association for Motor-car Dealers and Service Providers,1677,1703,25122,26077,1703,26077,26,955,1.550387596899225,3.8014489292253804
"Confederation of Norwegian Business and Industry, total",28972,29456,661268,668151,29456,668151,484,6883,1.6705784895761424,1.0408790384533957
