REF_AREA,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2
Austria,65.67335,65.24742,65.28038,65.35009,
Belgium,57.57374,57.94926,58.16834,57.87426,
Switerland,72.7156,72.41443,72.7638,72.52608,
Colombia,60.85403,60.95845,59.47645,59.64193,
Costa Rica,54.39125,53.08319,53.10658,55.00451,
Czechia,65.00134,64.99642,65.0999,65.4342,
Germany,67.84799,67.73789,67.82829,68.00398,
Denmark,68.23769,68.10762,68.75759,69.35541,
Spain,57.40648,57.61961,57.56504,57.53608,
Estonia,69.30782,68.70907,68.95747,68.66287,
EU27,61.3089,61.36702,61.51388,61.64485,
Finland,64.30555,63.72311,63.66706,63.58966,
France,58.93389,58.9343,58.94948,59.17543,
United Kingdom,67.68374,67.37409,67.3541,66.98761,
Greece,54.0032,53.86315,53.76817,54.35045,
Hungary,64.61096,64.5032,64.85725,65.10789,
Ireland,68.04188,68.01523,67.81709,67.72186,
Iceland,78.22086,77.72473,77.94707,77.83031,
Israel,66.16284,66.16745,65.03973,65.24567,
Italy,53.28478,53.45766,53.91764,53.95024,
Japan,72.18508,72.39627,72.70654,72.87346,
Lithuania,65.72722,66.11085,65.93837,65.36739,
Luxembourg,64.51391,63.88185,62.80469,63.08258,
Latvia,64.30536,64.47101,64.04776,64.05849,
Netherlands,73.11599,73.13478,73.21586,73.15859,
Norway,70.27137,70.30392,70.04342,69.79958,
Poland,61.69167,61.86262,62.00568,61.8002,
Portugal,63.56483,63.76311,63.45027,63.44835,
Slovak Republic,62.61892,62.59441,63.04272,62.88264,
Slovenia,62.83285,62.42179,62.93007,63.63335,
Sweden,69.6863,69.43107,69.17699,69.14719,
Türkiye,50.17748,50.54896,50.88374,51.69566,
United States,,65.5577,65.51245,65.42856,65.35137
