Landsforening,Sist_aar_m,Endring_m,Endring_m_pst,Sist_aar_y,Endring_y,Endring_y_pst
-  Akademikerforbundet,5475,247,4.724560061208876,4702,144,3.1592803861342693
-  Det norske maskinistforbund,5866,440,8.10910431256911,4516,475,11.754516208859194
-  Forskerforbundet,24177,397,1.6694701429772918,20045,472,2.4114852092167784
-  Norsk Ergoterapeutforbund,4502,98,2.2252497729336964,3313,91,2.824332712600869
-  Norsk Fysioterapeutforbund,10151,129,1.2871682298942326,8361,-137,-1.612144033890327
-  Norsk Radiografforbund,3359,42,1.2662044015676817,2768,-26,-0.9305654974946312
-  Norsk Sykepleierforbund,124789,2510,2.0526827991723846,90727,1614,1.8111835534658245
-  Politiets Fellesforbund,17336,-80,-0.45934772622875514,14551,170,1.18211529100897
-  Utdanningsforbundet,187692,4508,2.460913616909774,122858,1351,1.1118700980190441
UNIO Hovedorganisasjon for universitets- og høyskoleutdannede,388220,7417,1.9477262521566268,275277,3544,1.3042214232353082
