arbeidsgivarorganisasjon,Sist_aar_b,Sist_aar_t,Endring_b,Endring_t,Endring_b_pst,Endring_t_pst
- Abelia,2591,61254,60,4289,2.3706045041485577,7.529184587027121
- Byggenæringens Landsforening,3364,76386,32,-6692,0.9603841536614646,-8.055080767471532
- Energi Norge,724,15194,20,1040,2.840909090909091,7.347746220149781
- NHO Mat og Drikke,1876,48403,20,6917,1.0775862068965518,16.673094537916405
- NHO Reiseliv,3492,37725,51,-14245,1.4821272885789014,-27.410044256301713
- NHO Service og Handel,7531,109456,157,2715,2.1291022511526987,2.5435399705829997
- Norges Bilbransjeforbund,1703,26077,26,955,1.550387596899225,3.8014489292253804
- Norsk Industri,2997,134226,38,-1160,1.2842176410949644,-0.8568094189945785
- Offshore Norge,241,37345,5,741,2.11864406779661,2.024368921429352
- Sjømat Norge,794,19749,16,3700,2.056555269922879,23.054395912517915
Næringslivets Hovedorganisasjon i alt,29456,668151,484,6883,1.6705784895761424,1.0408790384533957
