yrke,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Akademiske yrker,35.7,35.7,35.7,35.9,35.7,35.8,35.8,35.6,35.8,35.9
Alle yrker,34.2,34.3,34.2,34.3,34.2,34.3,34.3,34.3,34.2,34.2
Andre yrker,28.6,27.9,29.1,30.5,30.6,30.4,30.1,29.4,29.4,29.9
"Bønder, fiskere mv.",43.0,42.8,41.2,41.6,39.7,40.4,40.1,40.5,39.5,36.9
Håndverkere,37.4,37.6,37.5,37.6,37.6,37.6,37.9,37.7,37.5,37.2
Høyskoleyrker,36.0,36.3,36.0,35.9,35.8,35.5,35.6,35.6,35.6,35.5
Kontoryrker,32.7,32.6,31.9,32.0,31.6,32.1,32.9,32.9,33.1,32.8
Ledere,39.1,39.2,39.1,39.2,39.4,39.2,39.1,38.9,38.6,38.6
"Prosess- og maskinoperatører, transportarbeidere mv.",38.1,37.8,37.5,37.7,37.7,37.8,37.6,37.5,37.1,36.9
Salgs- og serviceyrker,27.9,28.1,27.9,27.8,27.5,27.8,27.8,28.2,28.2,28.0
