næring (SN2007),Antall,Endring sist mnd,Endring sist år,Endring fra feb.20,Endring siste 3 år,Endring siste 5 år
Bergverksdrift og utvinning,63725.0,0.40651047000803564,3.747781775556388,2.238087598267287,9.133100424715716,14.87984712732779
Bygge- og anleggsvirksomhet,256322.0,0.0823861528790251,6.33473275475831,4.226016451902785,5.458435333566477,14.298837043378995
"Elektrisitet, vann og renovasjon",36143.0,0.16905936478022282,3.292275156468806,5.302566791947091,6.811868313730125,11.325694572783835
Finansiering og forsikring,49999.0,0.08807927134420979,2.8574367414112323,5.020059232498057,6.457863135033855,7.446168393002965
Forretningsmessig tjenesteyting,171404.0,0.22687935631753756,13.961636913666434,2.726934925144138,3.0883688480714984,12.306220597292658
Helse- og sosialtjenester,671037.0,0.011625151462309918,1.9732483147228486,3.603056970819824,4.035131238275375,6.9085225770065355
Industri,224210.0,0.19036213491581166,3.4761258641855655,0.27998425647631314,0.2324645715052081,4.273536073220755
Informasjon og kommunikasjon,114223.0,0.5245232207133868,9.012216071769421,13.3862097718835,16.70770708381441,27.999596579893993
"Jordbruk, skogbruk og fiske",40496.0,0.009878494517435544,5.463826240950049,6.708827404479578,8.68491680085883,15.696245928804068
"Off.adm., forsvar, sosialforsikring",192025.0,0.5708749050724068,1.071109005737144,2.868698773236192,3.6348426790436617,5.800646842647537
Overnattings- og serveringsvirksomhet,127345.0,1.4515268118193478,72.21117827633306,3.372838704440295,8.05318444855499,14.378996910253647
Personlig tjenesteyting,127082.0,0.8787457828934312,14.971999312422534,5.287489643744822,7.135510630764302,13.2587674346063
"Teknisk tjenesteyting, eiendomsdrift",186704.0,0.23084273704328034,6.761818171421383,5.203725721111856,7.32335425720264,15.439644352111195
Transport og lagring,141183.0,0.22717108112137327,7.875393502246402,-3.134776881277787,-2.3225404732254047,-1.482132763926396
Undervisning,258298.0,0.09532962348673911,3.1611571073115985,2.6548180177888705,4.0362176117803905,7.353992452328308
"Varehandel, reparasjon av motorvogner",389216.0,0.0732777793490362,5.331583291611977,3.4738893364065833,2.909479339629626,2.911384037757301
