REF_AREA,2023-Q4,2024-Q1,2024-Q2,2024-Q3
Østerrike,65.27464,65.31705,65.45818,65.08866
Belgia,58.18101,57.86481,58.11578,58.07411
Sveits,72.62589,72.34795,72.42843,72.20638
Colombia,59.53432,59.63105,60.4369,60.37959
Costa Rica,53.10658,55.00451,54.98946,57.36747
Tsjekkia,65.06812,65.40784,65.52502,65.68583
Tyskland,67.80913,67.95356,67.83656,67.82275
Danmark,68.80679,69.36003,69.61298,69.58015
Spania,57.56396,57.53605,57.92869,58.05811
Estland,68.99342,68.61505,69.61589,68.83644
EU27,61.5049,61.61987,61.72181,61.80013
Finland,63.64239,63.57645,63.12944,62.83389
Frankrike,58.97598,59.2676,59.45704,59.68351
Storbritannia,67.35748,67.00964,67.03477,67.35857
Hellas,53.82398,54.49502,55.13734,54.81662
Ungarn,65.00626,65.1746,65.13177,65.03887
Irland,67.82276,67.74728,68.53983,68.90292
Island,78.0392,78.08347,79.68638,80.16672
Israel,65.0432,65.28072,65.42054,65.69225
Italia,53.87524,53.9523,54.03889,54.49065
Japan,72.69146,72.88255,72.9725,73.28257
Litauen,65.95415,65.40891,65.96305,66.07533
Luxembourg,62.80581,63.08196,63.64614,62.48064
Latvia,64.01823,63.98701,64.18733,64.11089
Nederland,73.248,73.21778,73.35912,73.06264
Norge,70.04554,69.75955,69.64931,69.72241
Polen,62.00731,61.84533,61.95222,62.18807
Portugal,63.14675,63.11911,63.30421,63.49533
Slovakia,63.06527,62.92419,62.96653,62.93663
Slovenia,62.86055,63.40022,62.76231,62.70158
Sverige,69.18346,69.09473,69.31579,68.91107
Tyrkia,50.8893,51.66592,51.70548,51.78724
USA,65.52814,65.42753,65.34753,65.27582
