Time,European Union - 27 countries (from 2020),Finland,Germany,Netherlands,Norway,Sweden
2018-Q2,2.1,2.2,3.0,3.0,2.4,2.5
2018-Q3,2.1,2.2,3.1,3.1,2.5,2.5
2018-Q4,2.2,2.2,3.2,3.1,2.2,2.4
2019-Q1,2.2,2.2,3.3,3.2,2.5,2.4
2019-Q2,2.2,2.2,3.4,3.2,2.6,2.5
2019-Q3,2.2,2.2,3.3,3.3,2.4,2.4
2019-Q4,2.1,2.2,3.2,3.3,2.4,2.3
2020-Q1,1.9,2.2,2.9,2.5,2.4,2.2
2020-Q2,1.6,1.5,2.1,2.4,1.9,1.6
2020-Q3,1.7,1.8,2.4,2.5,2.3,1.7
2020-Q4,1.8,2.0,2.7,2.6,2.2,1.8
2021-Q1,2.0,2.1,2.9,2.9,2.5,1.9
2021-Q2,2.2,2.4,2.9,3.7,3.2,2.4
2021-Q3,2.5,2.8,3.4,4.1,3.2,2.6
2021-Q4,2.7,3.0,3.7,4.3,3.1,2.9
2022-Q1,2.9,3.1,4.1,4.9,3.3,3.1
2022-Q2,3.0,3.0,4.6,5.0,3.5,3.3
2022-Q3,2.9,2.8,4.4,4.9,3.3,3.2
2022-Q4,2.9,2.6,4.3,4.8,3.7,3.0
2023-Q1,2.8,2.4,4.1,4.7,4.1,3.2
2023-Q2,2.7,2.2,4.1,4.6,3.7,2.9
