,2022,2023,2024,2025,Dato
SSB,3.2,1.5,1.9,1.3,09.09.2022
Norges Bank,2.8,-0.3,0.4,1.1,22.09.2022
FIN,2.9,1.7,2.0,,06.10.2022
NAV,3.5,2.6,,,15.06.2022
OECD,3.5,1.7,,,08.06.2022
IMF,3.6,2.6,2.2,,12.10.2022
NHO,3.0,1.1,1.6,,04.10.2022
LO,3.3,1.5,1.9,1.8,22.09.2022
Danske Bank,2.8,0.9,,,04.10.2022
DNB,3.3,0.8,1.2,1.1,25.08.2022
Handelsbanken,2.9,0.7,1.3,,21.09.2022
Nordea,3.2,1.0,1.3,,07.09.2022
SEB,2.8,-0.4,0.8,,15.11.2022
Swedbank,3.0,-0.5,1.4,,25.10.2022
Konsensus,3.128571428571429,1.0642857142857143,1.4545454545454546,1.3250000000000002,
