Time,Denmark,Euro area (19 countries),Finland,Germany,Norway,OECD - Total,Sweden,United States,Fastlands-Norge
2000,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100
2001,99.6469664897826,101.50552236827927,101.92626355028852,102.51137970075423,103.70688737826532,101.64435069064311,100.79203606764496,102.19397169196624,103
2002,100.46622455168068,102.3623902796831,102.85064305736967,103.46174260641322,105.93831556348093,103.10924966610844,104.44496047185005,105.02109452209865,104.8
2003,102.1242836373903,102.8696413453677,105.04357497291086,104.25754928003118,109.37812773382451,105.2914074016722,108.39439607632866,108.1967008945863,108.1
2004,105.38538065684979,104.10831838763539,108.58111302173774,105.20704275663724,111.64174575172743,107.66777624869621,112.20998088062788,111.02765503807315,110.9
2005,106.82795327259471,105.04270962249478,110.62255249289609,106.8673697120366,112.87467278603746,108.59795779856437,115.39794062032654,113.3470693012115,114.2
2006,108.23585590540763,106.54137440854639,113.31305603932628,108.57643867480454,112.13306954084108,110.19101461251724,118.72139125163427,114.42024753831781,115.8
2007,108.43545970406048,107.51865178472401,116.99804738139309,109.85924736111055,110.11559886619509,111.79252289961381,119.06311673355776,116.0269919066546,116.5
2008,106.8211570916723,107.29904821484111,115.6365760002471,109.88782251941612,106.85660225364396,112.10462330373436,116.96670188677199,117.51300049254674,115
2009,105.8365587746375,106.13767420418974,110.48689181007656,106.58009978656608,106.77001565740503,111.4770254632174,115.31932674322161,121.26872902818381,114.9
2010,109.978530305028,108.76303586945816,114.31945204787736,109.03695468565637,107.3154468185813,114.06714044245328,119.36137351353058,124.47370500214954,116.7
2011,110.35932432810746,110.39912167246753,115.92966647154508,111.87299665227319,106.6030555455594,115.09704532423888,120.32894457341155,124.52138103440087,116.7
2012,112.46860240913227,111.05556395949266,114.08309696862054,112.56321765654438,107.53167527915619,115.6206887344127,119.75299745859922,124.99146823276162,119.1
2013,113.35298537984863,112.08246406991593,114.45321916184399,113.09759034464695,108.19528309987503,116.85480994688702,120.71129182981926,125.52321119603012,121.5
2014,115.1486463984907,112.91175212789646,114.72003087418928,114.26976102553763,109.06128381707994,117.81179004214857,122.08768142271327,125.99508101935434,122.4
2015,116.79293559709343,114.14084932868003,115.60249407294452,114.85192245005244,110.45476679585677,119.15230711573884,125.58127333056746,126.69687018694427,123.3
2016,118.18348396760598,114.45318434878303,118.37980237614913,116.40855305022933,111.19477838786365,119.92499672063062,124.80887942988414,127.08071482576875,125
2017,120.39242496436384,116.17926678726256,121.34253129972205,118.48366772355703,113.49612664955635,121.77965719094837,125.92091918660458,128.21882014097105,125.9
2018,123.04227564401171,116.2901511981599,119.91460698088316,118.72896041989127,112.61772186204027,122.97570804977616,126.38123232074683,129.66436428046288,126.9
2019,123.95597831328038,117.06984505710713,119.81553217538786,119.6329679411302,112.18477783536889,124.33061514749679,129.26593588998136,131.23478845702317,126.9
2020,125.23389858427925,119.53687396041228,119.90212306754825,120.80709799581788,113.19886304932167,128.98863390652625,130.64157953011178,135.7065076124294,126.5
2021,126.48112567180318,119.31631617302898,120.6688300209134,121.8583617609069,114.86850282694616,128.04363100117595,134.2154392204407,137.32244890657307,128.3
2022,125.62105081477262,119.28945540695648,122.39935080413788,122.44807929339973,114.27017929614203,126.51421700902283,134.61381567057632,132.23565192153285,
