Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,5.076012,5.310813,5.454614,0.641074,4.10963,3.694287,3.706802,2.867729,3.442676,-0.771006,2.943594,2.790723,2.979318,3.02289,2.529066,2.16796,2.030952,1.962466,2.093386,2.926287,2.613889,1.721754,1.910343,6.384333,1.488079,2.384178,0.724837,-0.115174,1.018541,2.316299,-0.353033,0.822161,1.650364,3.193264,1.368854,1.317917,0.184416,-1.488722,-0.921726,3.913554,0.346245,1.911281,0.786338,1.584132,1.427971,1.19061,1.869077,2.201011,1.441278,0.766192,
Finland,4.908178,7.611696,5.919263,3.170209,6.235548,1.439594,2.497404,3.596796,6.204744,3.531527,0.02786,2.888871,4.038921,3.141274,3.417666,4.131733,2.123108,4.625767,3.899095,2.399086,0.777131,3.620165,5.455784,4.429437,1.765807,2.065657,3.087258,4.01618,2.27188,4.325613,1.906201,0.957666,2.076265,3.382789,1.923572,2.424257,3.213598,-1.169248,-4.429144,3.483048,1.385086,-1.607245,0.368264,0.197484,0.813473,2.349147,2.516491,-1.143051,-0.151493,0.105341,
France,4.971212,6.724341,5.773919,5.099046,1.200261,2.055696,4.690106,5.139402,3.053702,1.643325,2.335971,6.485311,2.432612,2.437981,4.019108,2.207972,0.98612,3.229434,3.564247,2.398493,1.25295,2.406914,0.930567,2.0634,2.486617,1.089627,1.654637,2.473556,1.441044,2.648651,1.871008,2.919445,0.570758,1.10513,0.887587,2.48965,-0.468669,-0.638008,-1.022803,1.294486,1.001301,0.326726,1.354258,0.9622,0.811302,0.279427,2.109769,0.409723,0.390128,0.353619,-0.801698
Germany,4.364272,4.983052,5.100988,4.037166,3.762491,4.662283,4.118106,3.087135,2.863318,0.841889,1.662488,1.034649,3.281032,2.641189,2.307415,1.515231,1.367928,2.579541,3.480071,3.533561,3.476712,2.552646,1.947004,2.58796,1.506245,1.683218,2.450864,1.018347,1.135401,2.478991,2.51138,0.92708,0.769179,0.91072,1.578152,1.599242,1.18148,0.026011,-3.01009,2.305172,2.600992,0.616968,0.474731,1.036425,0.509462,1.355337,1.782613,0.039718,0.36753,0.383302,0.92735
Iceland,10.079836,4.972352,4.931442,3.636868,0.139456,4.106445,11.00645,5.181505,4.937546,3.1567,-0.531436,-0.541078,-3.041241,2.820571,-0.280055,3.477419,2.705465,2.501828,2.009763,2.734169,-0.377903,-3.373894,0.630998,4.520087,-1.948747,3.2869,4.201283,4.25618,1.590596,-0.190268,1.65334,4.171415,3.933946,7.820992,3.277476,1.804619,5.172177,-0.061923,6.397169,-1.027395,0.086141,0.144015,2.100473,-0.044785,1.680352,1.109382,0.814014,2.560336,3.665756,0.387594,
Ireland,3.045228,8.761517,3.81687,4.47817,6.956357,2.561435,6.287128,6.961385,-0.951022,5.957134,5.186016,3.054365,1.136399,7.240634,3.185185,-1.465696,5.077533,4.757168,5.566767,4.495599,4.017572,5.01211,2.525791,2.424907,4.928802,3.997702,6.807088,2.089529,4.40956,5.202368,2.614082,5.310665,2.069942,3.916942,0.360871,0.576506,1.646137,-2.784901,4.797473,11.667177,2.370897,0.420187,-1.949857,5.038633,19.880842,-1.187031,5.04818,5.264621,2.584677,9.228331,7.267668
Italy,4.470421,4.953997,6.507835,5.537087,-1.369485,6.168858,4.150103,3.45388,5.1631,1.899018,0.585723,-0.401443,0.883193,3.806123,2.025823,1.695659,1.913289,2.888172,3.556383,0.963183,0.046264,1.399459,1.891467,4.200471,2.964617,0.114258,1.845539,0.068617,0.703256,2.871761,0.670605,-0.784174,-0.70863,0.838599,0.446789,-0.220154,-0.076009,-0.570202,-1.992054,2.273472,0.675089,-0.534536,0.794849,0.079548,0.059368,-0.307394,0.645094,-0.012384,0.513879,2.256811,-1.291065
Japan,4.151312,8.385305,6.941608,2.162615,4.569062,2.35569,3.104367,4.549739,4.263001,2.351951,4.209142,2.540013,2.523539,3.414816,5.342485,2.572623,4.285659,5.639072,4.50105,5.100126,3.135856,1.450307,2.288781,1.342011,3.038309,2.595518,1.711473,1.120415,2.806259,2.892721,1.423018,1.84272,1.42531,2.288404,1.677295,0.160912,0.628057,-0.290545,-1.42147,3.091681,0.629424,1.094065,2.234727,0.177309,2.011117,0.100485,0.913891,0.553966,1.03935,1.235358,
Korea,7.10319,2.948407,9.203657,5.129032,5.560662,6.859556,9.045154,6.202751,7.365386,-2.025796,4.064532,5.181033,11.696349,11.286854,4.843327,6.415117,8.022121,10.331033,6.738848,8.839943,8.224629,5.042123,4.944125,6.485155,6.276729,6.034919,6.604829,4.829684,9.241997,3.896175,3.360164,6.588994,4.640435,4.526781,4.704116,4.163364,6.327742,5.633284,3.458658,5.957468,2.893116,1.410712,2.245705,2.277111,1.365689,2.785021,4.466796,3.820278,2.363096,3.043604,
Netherlands,5.127022,3.209913,6.630772,6.795347,3.361617,4.999276,3.086088,2.790437,1.246839,1.548877,-0.338088,1.170548,3.994104,2.763252,1.834406,1.364853,1.223512,1.812447,2.038552,1.446542,1.205998,-0.188535,1.603967,1.757237,-1.535089,0.369665,2.208025,2.455491,2.207117,3.232099,1.010131,0.729895,1.320404,1.724666,2.387927,1.487344,0.893447,0.574105,-2.255694,2.065094,0.64084,-0.148846,0.759906,0.740464,0.982921,-0.155939,0.543902,-0.32107,-0.171196,-1.139488,2.208649
