,Faktisk utvikling,SSB,Norges Bank,FIN,IMF,OECD,LO,NHO,Danske Bank,DNB,Handelsbanken,Nordea,SEB,SØA,Konsensus
2016,3.6,,,,,,,,,,,,,,
2017,1.8,,,,,,,,,,,,,,
2018,2.7,,,,,,,,,,,,,,
2019,2.2,,,,,,,,,,,,,,
2020,1.3,,,,,,,,,,,,,,
2021,3.5,,,,,,,,,,,,,,
2022,5.8,,,,,,,,,,,,,,
2023,5.72,5.6,5.8,6.0,5.8,5.5,5.9,5.5,5.6,5.8,5.7,5.8,5.6,5.8,5.72
2024,4.07,4.5,4.8,3.8,3.7,3.9,4.1,3.9,3.0,4.4,4.1,4.0,4.6,4.4,4.07
2025,2.85,2.5,3.1,2.5,,3.2,2.6,3.4,2.0,3.3,3.2,3.0,2.6,3.2,2.85
2026,2.58,2.0,2.5,,,,,2.9,,2.9,,,,2.9,2.58
