,Faktisk utvikling,SSB,Norges Bank,FIN,IMF,OECD,LO,NHO,Danske Bank,DNB,Handelsbanken,Nordea,SEB,SØA,Konsensus
2016,3.6,,,,,,,,,,,,,,
2017,1.8,,,,,,,,,,,,,,
2018,2.7,,,,,,,,,,,,,,
2019,2.2,,,,,,,,,,,,,,
2020,1.3,,,,,,,,,,,,,,
2021,3.5,,,,,,,,,,,,,,
2022,5.8,,,,,,,,,,,,,,
2023,5.58,5.6,5.5,6.0,5.8,5.5,5.9,5.5,5.6,5.8,5.5,5.8,5.6,5.8,5.58
2024,4.03,4.5,4.4,3.8,3.7,3.9,4.1,3.9,3.0,4.4,4.2,4.0,4.6,4.4,4.03
2025,2.76,2.5,2.8,2.5,,3.2,2.6,3.4,2.0,3.3,2.8,3.0,2.6,3.2,2.76
2026,2.47,2.0,2.5,,,,,2.9,,2.9,,,,2.9,2.47
